RelativePath	ProcCount	Procs
HO/Bank/clientTDSExcemtion.aspx	9	pr_b_clienttdsexceptionsave;pr_b_sb_tdsexceptionname;pr_g_getyearsmonthsdays;pr_x_generateuid;pr_x_getclientwiseinterestpaid;pr_x_getexemptedclientlist;pr_x_getglobalclient;pr_x_gettdslimit;pr_x_isrestrictedtoexemption
HO/Bank/Form121.aspx	11	pr_b_clienttdsexceptionsave;pr_b_get_lasttwofinancialyears;pr_b_getlasttwofinancialyears;pr_b_sb_tdsexceptionname;pr_g_getyearsmonthsdays;pr_x_generateuid;pr_x_getclientwiseinterestpaid;pr_x_getexemptedclientlist;pr_x_getglobalclient;pr_x_gettdslimit;pr_x_isrestrictedtoexemption
HO/Bank/g_AccountHead.aspx	1	pr_g_getaccountheadcode
HO/Bank/g_City.aspx	2	pr_g_getcitylist;pr_g_sb_getcity
HO/Bank/g_Designation.aspx	1	pr_g_updatedesignation
HO/Bank/g_District.aspx	1	pr_g_getdistrict
HO/Bank/g_IFSCCode.aspx	1	pr_g_sb_ifsccode
HO/Bank/g_InventoryCategory.aspx	1	pr_i_sb_inventorycategory
HO/Bank/g_LGA.aspx	2	pr_g_getlga;pr_g_getstate
HO/Bank/g_MICRCity.aspx	1	pr_g_sb_micrcity
HO/Bank/g_MICRRegion.aspx	1	pr_g_sb_micrregion
HO/Bank/g_Notes.aspx	1	pr_g_getnotes
HO/Bank/g_State.aspx	1	pr_g_sb_getstate
HO/Bank/g_Taluka.aspx	1	pr_g_gettaluka
HO/Bank/MemberLoanSchemeMap.aspx	1	pr_b_memberloanslabconfig
HO/client_image_verify/client_doc_verify_handler.aspx	1	pr_fc_getimagesbyclientid
