Module	SubArea	Screen	RelativePath	Category	Complexity	Score	LegacyBucket	AspxLoc	VbLoc	Controls	Grids	Inputs	Buttons	ProcCount	Writes	ClientAssets	MigratedTo	Procs
Helpdesk		HD_TranLimitslab.aspx	Helpdesk/HD_TranLimitslab.aspx	CRUD master	Simple	3.88	Medium	106	228	24	1	3	4	1	yes			pr_hd_tranlimitslab
Helpdesk		hd_TransactionReport.aspx	Helpdesk/hd_TransactionReport.aspx	Report	Report	3.42	Report	111	255	13	0	5	2	2	yes			pr_g_getconsbranches;pr_hd_highvaluetranreport
Helpdesk		hd_UserRelease.aspx	Helpdesk/hd_UserRelease.aspx	CRUD master	Medium	4.7	Medium	129	273	22	1	4	3	2	yes			pr_hd_getblockeduser;pr_hd_saveuserrelease
Helpdesk		HelpDeskPasswordPolicyConfig.aspx	Helpdesk/HelpDeskPasswordPolicyConfig.aspx	Transaction / Entry	Medium	8.99	Medium	277	868	65	0	10	2	1	yes			pr_a_getloginpolicydate
Helpdesk		MapHelpDeskAccounts.aspx	Helpdesk/MapHelpDeskAccounts.aspx	CRUD master	Complex	49.1	Medium	355	5781	74	2	17	6	10	yes			pr_b_getmaphelpdeskaccount;pr_g_getconsbranches;pr_hd_getaccountsbycustid;pr_hd_getactiveaccounts;pr_hd_getemailofdirectors;pr_hd_getemailsmstext;pr_hd_save_loginemaillog;pr_hd_savedefaultmenu;pr_hd_updatehd_login;pr_x_r_getcustomernamebychartofaccount
Helpdesk		MapHelpDeskAccountsV1.aspx	Helpdesk/MapHelpDeskAccountsV1.aspx	CRUD master	Complex	45.65	Medium	511	5191	111	3	27	9	7	yes			pr_hd_deleteprofilelogin;pr_hd_genemailsmstext;pr_hd_getaccountsbycustid;pr_hd_getactiveaccounts;pr_hd_save_loginemaillog;pr_hd_savedefaultmenuv2;pr_hd_userprofilestatuslog
Helpdesk		UserTrailLog.aspx	Helpdesk/UserTrailLog.aspx	Transaction / Entry	Simple	2.25	Medium	75	187	10	0	2	2	1	yes			pr_hd_usertraillog
HO		a_UserOtherBranchLogin.aspx	HO/a_UserOtherBranchLogin.aspx	Search / List / Inquiry	Medium	7.86	Medium	200	549	40	1	5	7	3				pr_a_getuser;pr_a_sb_userotherbranchlogin;pr_a_userotherbranchlogin
HO		b_AccountEmailMap.aspx	HO/b_AccountEmailMap.aspx	Transaction / Entry	Complex	13.89	Simple	300	1736	43	0	11	8	1	yes			pr_g_getcity
HO		b_ATMAccCatSkip.aspx	HO/b_ATMAccCatSkip.aspx	CRUD master	Simple	2.75	Simple	114	131	12	1	1	2	1	yes			pr_b_saveatmacccatskip
